time,open,high,low,close,Volume,Volume MA
2011-11-04,3.27,3.55,3.21,3.55,117.08103867,89.15853338450002
2011-11-05,3.21,3.21,3,3,103.512,89.60213338450001
2011-11-06,2.95,2.95,2.95,2.95,203.388,96.9715333845
2011-11-08,3.08,3.08,3.08,3.08,47.47212389,98.795139579
2011-11-09,3.09,3.3,3.09,3.3,58.86052015,95.1131655865
2011-11-10,3.25,3.3,2.95,3.3,121.66777314,97.2925542435
2011-11-11,3.3,3.3,3.3,3.3,65.434,96.5880779935
2011-11-12,3.35,3.35,3.35,3.35,2.79,91.2464896935
2011-11-13,3.35,3.35,3.35,3.35,29.48955224,87.87209167249999
2011-11-14,2.95,2.95,2.47,2.47,183.4,96.53009167249999
2011-11-15,2.99,3,2.5,2.5,97.3416118,98.2985556625
2011-11-16,2.51,3,2.51,3,5.61666667,96.506221963
2011-11-17,3,3,2.5,2.99,17.01862876,94.130153401
2011-11-18,2.5,2.79,2.5,2.5,88.44,92.037187218
2011-11-19,2.5,2.5,2.43,2.43,48.87212355,81.06734476049999
2011-11-20,2.37,2.37,2.37,2.37,11,75.6984511275
2011-11-21,2.45,3,2.25,2.25,290.52677579,85.803168667
2011-11-22,2.53,2.59,2.46,2.59,328.49334597,96.40876621550001
2011-11-24,2.54,3,2.54,3,9.1446088,93.4162945015
2011-11-25,2.5,15,2.5,2.75,179.78726599,100.46680177100001
2011-11-26,2.77,2.77,2.77,2.77,10.09025271,95.11726247300001
2011-11-28,2.67,2.78,2.66,2.66,180.36714898,98.960019922
2011-11-29,2.69,3.23,2.69,2.72,62.46464882,91.91385236300002
2011-11-30,3.19,3.19,3.19,3.19,14.53918495,90.26720541600001
2011-12-01,3.46,3.48,3.3,3.42,233.78003348,99.01318108250001
2011-12-02,3.45,3.45,3.04,3.04,131.75704022,99.5176444365
2011-12-03,2.93,2.93,2.93,2.93,0.5,96.2709444365
2011-12-05,2.82,2.99,2.82,2.93,207.3632656,106.49960771650001
2011-12-06,2.9,3.25,2.89,2.98,216.10928902,115.83059455550001
2011-12-07,3.05,3.35,3.05,3.3,233.20920018,118.32105456450002
2011-12-08,3.27,3.5,2.95,3.3,115.71772709,119.23986032900002
2011-12-10,3.2,3.2,3,3.2,12.284375,119.57324574550003
2011-12-11,3.17,3.37,3.17,3.27,157.77889484,126.61125904950002
2011-12-12,3.37,3.6,3.37,3.48,75.61897495,125.97020779700001
2011-12-13,3.25,3.59,3.25,3.56,66.15055522,126.8341293805
2011-12-14,3.42,3.49,3.42,3.47,90.7647307,130.82236591550003
2011-12-15,3.39,3.45,3.39,3.45,102.74202898,121.43312857500003
2011-12-16,3.25,3.5,3.25,3.44,84.613001,109.23911132650002
2011-12-18,3.25,3.5,3.25,3.5,17.24285714,109.64402374350004
2011-12-19,3.5,3.98,3.5,3.85,134.73429197,107.39137504250004
2011-12-20,4.75,4.75,4.53,4.55,94.74335338,111.62403007600003
2011-12-21,4.38,4.38,4.38,4.38,20.89954338,103.65064979600004
2011-12-22,4.19,4.19,4.17,4.17,8.53526439,100.95418057450004
2011-12-23,3.86,4.35,3.84,4.22,149.49256188,107.70184942100005
2011-12-24,4.33,4.33,4.33,4.33,27.22479474,97.37408748400006
2011-12-25,4.32,4.32,4.27,4.27,24.182423,91.99535662300005
2011-12-26,4.27,4.33,4.27,4.33,56.73660508,94.80718687700005
2011-12-27,4.33,4.33,4.29,4.29,58.07386739,87.34271696650005
2011-12-28,4.29,4.3,4.25,4.3,35.55011655,78.31475834300005
2011-12-29,4.3,4.5,4.3,4.5,36.56096221,68.48234644450005
2011-12-30,4.26,4.5,4.21,4.21,56.74004969,65.53346257450006
2011-12-31,4.39,4.58,4.39,4.58,95.3178781,69.68513772950006
2012-01-01,4.58,5,4.58,5,21.602,62.876292987500065
2012-01-02,5,5,5,5,19.048,60.047744240000064
2012-01-03,5.32,5.32,5.14,5.29,88.03728092,61.14208052500006
2012-01-04,4.93,5.57,4.93,5.57,107.23326023,61.965507001500065
2012-01-05,5.72,6.65,5.72,6.65,94.80182926,61.568497015500064
2012-01-06,6.65,6.9,6,6,33.88274671,59.031984301000065
2012-01-07,6.8,6.8,6.8,6.8,0.29585799,58.184634343500065
2012-01-08,6.9,7,6.9,7,5,51.69791974500007
2012-01-09,6.99,6.99,6.23,6.3,66.8693229,50.30421822100007
2012-01-10,6.24,7.14,6.24,7.14,62.28998018,52.37374006100007
2012-01-11,7.14,7.33,6.25,7,105.35893402,57.214923542500074
2012-01-12,6.95,7.38,6.51,6.51,82.30163181,53.85537703900006
2012-01-13,6.8,7.36,6.6,6.6,48.97014484,54.94264454400006
2012-01-14,6.5,6.5,6.3,6.3,16.836,54.575323394000065
2012-01-15,7.15,7.15,7.15,7.15,16.6993007,52.57345817500008
2012-01-16,6.2,7.1,6.2,7.1,12.64929577,50.302229594000075
2012-01-17,6.5,6.9,6,6,80.51400824,52.55042417850008
2012-01-18,5.99,7.1,5.99,7.1,133.44676912,57.39471452400007
2012-01-19,5.52,7,5.52,6.22,246.71581895,66.89350298700008
2012-01-20,6.9,6.95,6.55,6.95,95.82599863,66.91890901350008
2012-01-21,6.3,6.77,6.28,6.77,81.41385241,69.90950163400007
2012-01-22,6.79,6.83,6.03,6.79,81.27103303,73.02065328550006
2012-01-23,6.5,6.52,6,6.52,94.92062909,73.36482069400006
2012-01-24,6.52,6.57,6,6.55,85.44624147,72.27546975600005
2012-01-25,6.26,6.86,6,6.31,81.1232564,71.59154111300005
2012-01-26,6.27,6.3,5.5,5.5,29.91907058,71.39335730650005
2012-01-27,3.8,6.03,3.8,5.88,92.07999287,75.98256405050005
2012-01-28,4.91,4.91,4.91,4.91,0.25,75.74506405050005
2012-01-29,5.89,5.9,5.3,5.5,9.45484643,72.87434022700005
2012-01-30,5.3,5.58,5.3,5.58,15.16,70.51784121800006
2012-01-31,5.7,6.22,3.8,5.3,110.50333334,70.77506118400005
2012-02-01,5.53,5.99,5.52,5.88,12.05880628,67.26291990750005
2012-02-02,5.99,6.28,5.89,6.28,251.00093001,77.36445916600005
2012-02-03,6.29,6.35,5.93,6.3,155.5524532,84.30028182600003
2012-02-04,6.35,6.5,5.94,5.94,67.63499409,86.84706649550003
2012-02-05,5.93,6.15,5.6,5.6,47.85042396,88.60712290500003
2012-02-06,5.6,5.9,5.2,5.6,29.17833833,86.04033940950004
2012-02-07,5.5,5.88,5.5,5.69,165.40541896,87.63827190150002
2012-02-08,5.79,5.87,5.66,5.87,83.57202011,79.48108195950002
2012-02-09,5.52,5.89,5.51,5.89,83.60318875,78.86994146550003
2012-02-10,5.88,5.88,5.8,5.88,176.93050375,83.64577403250004
2012-02-11,5.71,5.71,5.5,5.5,1.8794878,79.67619677100005
2012-02-12,5.78,5.78,5.55,5.67,64.8434324,78.17233693650005
2012-02-13,5.53,5.79,5.5,5.79,99.78443902,78.88924681400006
2012-02-14,5.2,5.8,4.56,4.89,128.34493428,81.25033070800006
2012-02-15,4.9,5.08,4.69,4.69,67.78916535,83.14383544650006
2012-02-16,4.5,4.98,4.15,4.51,115.6239213,84.32103186800006
2012-02-17,4.67,4.8,4.5,4.67,244.67028923,96.54204632950007
2012-02-18,4.67,4.73,4.14,4.23,254.39025201,108.78881660850007
2012-02-19,4.38,4.38,4.3,4.38,92.68354434,112.66499382550008
2012-02-20,4.72,4.72,4.4,4.44,315.93925361,122.93678983900006
2012-02-21,4.52,4.58,4.3,4.58,358.44920149,140.25630959950007
2012-02-22,4.47,4.59,4.46,4.51,75.30876636,131.47170141700005
2012-02-23,4.59,5.22,4.55,5.22,714.84400933,159.43627922350007
2012-02-24,5.12,5.22,4.95,4.95,37.59711782,157.93438541000006
2012-02-25,5.11,5.11,5,5,119.80740151,161.53223428750007
2012-02-26,4.79,5.07,4.78,4.98,40.9,162.11831737100007
2012-02-27,4.97,5.1,4.95,5.04,309.05231411,169.30066212850005
2012-02-28,5.09,5.1,4.71,4.88,440.24138707,187.13413047650005
2012-02-29,4.97,5,4.85,4.99,242.23784635,195.06586335650007
2012-03-01,4.99,5.05,4.9,5,291.16358119,200.77751722850007
2012-03-02,4.99,4.99,4.64,4.79,245.97471171,212.98227842400007
2012-03-03,4.81,4.99,4.6,4.65,125.91831514,216.03602256100007
2012-03-04,4.78,4.81,4.77,4.81,113.6084153,216.72722137500008
2012-03-05,4.8,5.06,4.77,5.06,518.05455153,236.21270223750008
2012-03-06,5,5.05,4.95,4.98,296.62794242,247.6546410910001
2012-03-07,5.05,5.09,4.93,4.93,373.49234495,260.5480622735001
2012-03-08,4.94,5.08,4.87,5.01,326.5657549,264.64283555700007
2012-03-09,5.01,5.07,4.93,4.93,277.58947933,265.8027969230001
2012-03-10,4.91,4.99,4.85,4.94,114.04892826,266.87106611900015
2012-03-11,4.94,5,4.84,5,24.68252609,252.30822974300008
2012-03-12,4.85,4.99,4.85,4.99,108.76167997,239.8238536670001
2012-03-13,4.99,5.32,4.96,5.3,734.65394306,272.7911125020001
2012-03-14,5.32,5.44,5.27,5.27,1129.74327664,293.5360758675001
2012-03-15,5.27,5.43,5.27,5.39,633.16784959,323.3146124560001
2012-03-16,5.3,5.41,5.26,5.26,157.69794429,325.20913959500007
2012-03-17,5.38,5.42,5.38,5.42,143.87332861,330.35780602550005
2012-03-18,5.41,5.42,5.24,5.25,412.66352117,335.5383663785001
2012-03-19,5.24,5.37,4.83,4.83,415.19375675,334.2859848625001
2012-03-20,4.82,4.97,4.79,4.79,279.75591707,336.1618883985001
2012-03-21,4.9,4.96,4.9,4.96,9.32862903,322.0701407905001
2012-03-22,4.86,4.98,4.72,4.91,396.4109947,329.5919549400001
2012-03-23,4.73,4.89,4.6,4.78,393.13018477,342.95254842150007
2012-03-24,4.72,4.83,4.62,4.83,191.53850932,346.8490531225001
2012-03-25,4.61,4.84,4.54,4.54,15.47357192,321.72000414200005
2012-03-26,4.6,4.75,4.54,4.73,64.76455997,310.12683501950005
2012-03-27,4.54,4.97,4.54,4.84,369.59079623,309.93175758350003
2012-03-28,4.75,4.95,4.72,4.93,418.64896343,314.53591801000005
2012-03-29,4.93,4.93,4.77,4.84,110.39370311,306.176129199
2012-03-30,4.81,4.91,4.76,4.88,161.39879423,308.5436224975
2012-03-31,4.9,4.92,4.89,4.9,158.37378321,315.2281853535
2012-04-01,4.89,4.89,4.77,4.89,308.5058652,325.21539461500004
2012-04-02,4.8,5.04,4.78,5.04,888.5786116,332.911628042
2012-04-03,5.04,5.04,4.86,4.99,244.30290125,288.6396092725
2012-04-04,4.92,5.01,4.86,5.01,305.43564088,272.25299883700006
2012-04-05,4.99,5.04,4.89,5,400.86488527,284.41134588600005
2012-04-06,4.9,4.99,4.81,4.99,725.95771755,313.5155653330001
2012-04-07,4.94,4.94,4.7,4.7,228.65562961,304.31517075500005
2012-04-08,4.8,4.8,4.69,4.76,177.21795867,292.4163808510001
2012-04-09,4.7,4.85,4.7,4.75,158.55832457,286.3565012260001
2012-04-10,4.75,4.87,4.75,4.8,314.81763737,301.63095164300006
2012-04-11,4.86,4.92,4.78,4.92,425.60463177,303.0906334965001
2012-04-12,4.87,4.93,4.73,4.93,756.79455183,321.27385184950015
2012-04-13,4.88,4.95,4.81,4.93,1102.26589487,366.8102211270001
2012-04-14,4.94,5.01,4.94,4.96,544.64998903,393.26904198250014
2012-04-15,4.96,4.99,4.92,4.99,114.97408628,395.77951829800014
2012-04-16,4.93,4.98,4.93,4.98,487.00754874,401.6503559235001
2012-04-17,4.99,4.99,4.95,4.98,282.51538718,394.84367711100015
2012-04-18,4.98,5.18,4.98,5.16,839.9317501,431.3205794605002
2012-04-19,5.17,5.18,5.06,5.13,562.65170965,451.3832252315002
2012-04-20,5.15,5.38,5.09,5.38,372.83588987,462.10633056450024
2012-04-21,5.4,5.43,5.19,5.24,301.94356518,461.77821556350017
2012-04-22,5.24,5.25,5.17,5.17,139.56864263,424.32771711500015
2012-04-23,5.2,5.25,5,5,947.46097439,459.48562077200023
2012-04-24,4.99,5.15,4.98,5.08,1975.83110591,543.0053940235002
2012-04-25,5.12,5.14,4.86,5.14,1634.21397664,604.6728485920002
2012-04-26,5.1,5.12,4.86,4.98,762.13021797,606.4814736130002
2012-04-27,5.03,5.08,4.99,5.04,718.01401093,630.9493926790001
2012-04-28,5.07,5.07,4.85,4.91,205.02552687,632.3397710890001
2012-04-29,4.92,4.96,4.81,4.91,62.87862749,627.555786235
2012-04-30,4.92,5.02,4.87,5,490.58077752,636.3439432425
2012-05-01,4.94,5.04,4.86,4.97,831.7462259,656.651022949
2012-05-02,5.01,5.15,5.01,5.06,495.31714343,643.5771525289999
2012-05-03,5.06,5.13,5.05,5.1,645.08940157,620.7183278639999
2012-05-04,5.1,5.15,5.07,5.07,776.0427635,632.2879665874999
2012-05-05,5.09,5.11,5.04,5.04,415.56904636,647.3177145914999
2012-05-06,5.06,5.1,5.02,5.08,1234.04605552,684.6696399304999
2012-05-07,5.05,5.08,4.97,5.05,874.47864459,714.2678028009999
2012-05-08,5.06,5.08,4.99,5.02,640.55868732,704.299149662
2012-05-09,5.02,5.08,5.01,5.02,350.28159466,693.6806439125
2012-05-10,5.02,5.04,4.87,4.87,907.11429341,720.3945640895
2012-05-11,4.97,4.97,4.87,4.95,413.82665677,725.988718669
2012-05-12,4.95,4.97,4.91,4.91,219.33389116,729.9769810955
2012-05-13,4.95,4.95,4.94,4.94,395.46296566,702.3770806590001
2012-05-14,4.93,4.99,4.88,4.93,718.72911768,639.5219812475001
2012-05-15,4.95,5.01,4.9,4.95,600.99596383,587.8610806070002
2012-05-16,5,5.04,4.98,5.04,178.0332215,558.6562307835002
2012-05-17,5.02,5.03,5.01,5.02,611.21283218,553.3161718460001
2012-05-18,5.03,5.07,5.03,5.07,912.52426975,588.6911089900001
2012-05-19,5.08,5.08,5.05,5.07,168.0059752,593.9474763755001
2012-05-20,5.03,5.08,5.03,5.03,26.40212653,570.7385438260001
2012-05-21,5.04,5.09,5.01,5.08,354.05739561,546.8541023115001
2012-05-22,5.05,5.07,5,5.03,678.0675855,555.9916244150002
2012-05-23,5.02,5.1,5.02,5.1,558.15131265,551.6447199690001
2012-05-24,5.08,5.12,5.04,5.12,904.74009563,558.0795865755001
2012-05-25,5.09,5.1,5.08,5.08,274.91026252,551.0466473835002
2012-05-26,5.08,5.09,5.06,5.07,388.706217,508.7796554575001
2012-05-27,5.08,5.08,5,5.07,913.5296725,510.7322068530001
2012-05-28,5.08,5.08,5.07,5.07,180.68383317,487.7384641455002
2012-05-29,5.07,5.12,4.95,5.11,1341.51430437,537.3000996310002
2012-05-30,5.07,5.14,5.07,5.14,748.40168128,529.3644690245002
2012-05-31,5.14,5.17,5.1,5.17,1102.63991433,563.8051319025002
2012-06-01,5.17,5.24,5.16,5.22,473.66441064,576.5216578765002
2012-06-02,5.2,5.21,5.17,5.19,192.43478463,566.3702488250003
2012-06-03,5.19,5.2,5.19,5.19,14.33475413,531.1505306475003
2012-06-04,5.18,5.24,5.14,5.22,1359.1183093,569.0566479210004
2012-06-05,5.22,5.49,5.22,5.37,929.19495142,606.6147344170004
2012-06-06,5.39,5.49,5.37,5.41,770.84630967,614.5964082915004
2012-06-07,5.41,5.53,5.4,5.53,1412.87520675,639.6139551415005
2012-06-08,5.48,5.63,5.46,5.61,1397.44902141,701.0861074520005
2012-06-09,5.6,5.62,5.47,5.48,353.65603433,717.4488028420005
2012-06-10,5.54,5.54,5.42,5.42,270.95117635,713.2934918790005
2012-06-11,5.48,5.57,5.4,5.52,667.67216608,712.7737209080005
2012-06-12,5.57,5.9,5.53,5.71,9330.40796351,1151.3865534510005
2012-06-13,5.77,6,5.71,5.86,1690.19740728,1190.6594190335004
2012-06-14,5.86,5.91,5.79,5.9,3236.50872608,1338.7393422115006
2012-06-15,5.88,6.42,5.56,6.42,2041.44728738,1421.3763957305005
2012-06-16,6.41,6.52,6.12,6.41,1010.13937535,1426.2068808730005
2012-06-17,6.41,6.47,6.13,6.19,424.19045736,1438.3822120825007
2012-06-18,6.13,6.34,5.98,6.06,2483.09865297,1495.4614295125007
2012-06-19,6.13,6.49,6.13,6.46,1389.04883704,1527.4937873005006
2012-06-20,6.4,6.65,6.26,6.64,2075.98456731,1576.1610199495005
2012-06-21,6.66,6.69,6.64,6.64,480.84201914,1576.5199003745006
2012-06-22,6.64,6.67,6.48,6.59,963.16079857,1615.0562010715005
2012-06-23,6.6,6.61,6.33,6.45,1137.14132853,1671.1965297915006
2012-06-24,6.35,6.45,6.35,6.4,599.17294989,1633.1992618210004
2012-06-25,6.35,6.35,6.11,6.26,1956.72821545,1684.5759250225005
2012-06-26,6.26,6.46,6.17,6.41,2273.09860084,1759.6885395810004
2012-06-27,6.41,6.68,6.34,6.49,11231.7782872,2250.6336936035004
2012-06-28,6.49,6.54,5.99,6.5,4266.15056833,2394.0687709495005
2012-06-29,6.5,6.63,6.49,6.52,8127.55500202,2782.7637193340006
2012-06-30,6.58,6.61,6.5,6.61,828.0520601,2810.6187635215006
2012-07-01,6.6,6.62,6.52,6.52,332.44372303,2793.8573413690006
2012-07-02,6.55,6.64,6.52,6.61,1792.23613156,2416.948749771501
2012-07-03,6.61,6.66,6.4,6.44,1936.39057108,2429.258407961501
2012-07-04,6.44,6.55,6.36,6.44,2014.68873238,2368.1674082765007
2012-07-05,6.52,6.66,6.52,6.6,1406.97193177,2336.4436404960006
2012-07-06,6.59,6.6,6.39,6.59,1662.61510481,2369.0674269690007
2012-07-07,6.6,6.79,6.56,6.79,1408.47982275,2418.281895238501
2012-07-08,6.8,6.8,6.45,6.73,830.37090426,2335.645507803001
2012-07-09,6.77,6.99,6.55,6.94,1751.75552756,2353.780842329001
2012-07-10,6.95,7.13,6.95,7.08,1495.14428871,2324.7388283990012
2012-07-11,7.08,7.15,7.04,7.14,751.6620754,2338.279831212001
2012-07-12,7.15,7.59,7.1,7.59,2325.83757491,2406.413670029001
2012-07-13,7.6,7.69,7.46,7.59,1204.54573744,2409.7838904745013
2012-07-14,7.58,7.58,7.44,7.55,717.31461973,2415.690973966501
2012-07-15,7.55,7.57,7.4,7.57,322.39208253,2333.9741673205012
2012-07-16,7.57,8.3,7.14,8.3,3680.08259313,2404.323366935001
2012-07-17,8.3,8.8,7.7,8.55,3658.89689039,2025.6792970945012
2012-07-18,8.5,9.15,8.36,9,2613.84283038,1943.0639101970014
2012-07-19,9.06,9.2,8.76,8.76,2512.84139938,1662.3282300650014
2012-07-20,8.76,8.76,7.93,8.44,1378.66512932,1689.8588835260016
2012-07-21,8.52,8.91,8.2,8.74,2380.64465925,1792.2689303370014
2012-07-22,8.74,8.8,8.3,8.42,1483.54734477,1776.8344909975015
2012-07-23,8.42,8.88,8.1,8.59,2585.86162059,1809.3080434730014
2012-07-24,8.59,8.8,8.25,8.61,1298.89850455,1773.5185320815017
2012-07-25,8.59,8.64,8.24,8.64,1795.4597738,1792.9429241830017
2012-07-26,8.64,8.83,8.45,8.75,837.67858922,1751.6960984035018
2012-07-27,8.76,8.91,8.76,8.83,687.49671529,1715.6469430305017
2012-07-28,8.83,9,8.78,8.88,1498.92603223,1749.0746994290016
2012-07-29,8.79,8.79,8.7,8.71,590.37066164,1691.0054561330016
2012-07-30,8.7,9,8.54,9,2423.61350596,1737.4289169955016
2012-07-31,9,9.28,8.92,9.28,1324.42575089,1766.0671007700014
2012-08-01,9.28,9.5,8.9,9.45,2419.60607319,1770.7555256840012
2012-08-02,9.45,10.52,9.4,10.44,2209.70926083,1821.0137018535013
2012-08-03,10.4,12,10.1,10.79,2419.41343128,1906.1186424310013
2012-08-04,10.96,11.2,10.5,10.51,635.36838137,1921.7674573730012
2012-08-05,10.93,10.93,10.29,10.71,1906.76190708,1833.1014230705011
2012-08-06,10.71,10.99,10.43,10.84,2070.07812126,1753.660484614001
2012-08-07,10.86,10.87,10.72,10.75,1039.03555,1674.9201205950008
2012-08-08,10.75,11.04,10.7,10.99,2746.09461916,1686.582781584001
2012-08-09,11,12.49,10.79,11,2432.99473284,1739.2992617600007
2012-08-10,11,11.5,10.9,11.32,2554.43905586,1747.9889815905008
2012-08-11,11.32,11.4,11.25,11.38,358.81692698,1691.7524607010007
2012-08-12,11.4,11.69,11.34,11.49,838.43263012,1604.3810111775008
2012-08-13,11.42,11.98,11.4,11.89,3499.58597122,1714.4153845110006
2012-08-14,11.9,12.3,11.81,12.25,1925.97314889,1720.9410532655006
2012-08-15,12.13,13.2,12.13,13.01,1592.26779355,1758.6705134820008
2012-08-16,13.14,13.5,12.75,13.42,1529.32907411,1800.7621314230007
2012-08-17,13.49,16.41,11.5,12.5,4868.2788647,1969.2297730465004
2012-08-18,12.64,12.99,11.11,11.54,2511.36721749,2065.2796008390005
2012-08-19,11.86,11.86,7.1,8.06,5427.25152634,2215.4615018580002
2012-08-20,8.09,10.33,7.86,10.05,3382.49965273,2318.3651969500006
2012-08-21,9.79,10.51,9.53,10.18,3384.91944347,2366.6308654640006
2012-08-22,9.99,10.71,9.75,9.96,8193.33129551,2665.8119671980003
2012-08-23,9.96,10.19,9.78,10.02,2710.25541207,2680.3540662375003
2012-08-24,10.03,10.51,9.83,10.37,4170.89273974,2857.1302841560005
2012-08-25,10.45,10.58,10.14,10.57,581.27122838,2790.8557502210006
2012-08-26,10.57,10.62,10.2,10.31,1412.06354461,2757.9550213885004
2012-08-27,10.31,11.93,10.31,10.78,4283.77447567,2920.1919676720004
2012-08-28,10.9,11.21,10.63,11,2970.10121296,2931.392297362
2012-08-29,11,11.05,10.49,10.78,4768.86011122,3048.1855662810003
2012-08-30,10.81,10.91,10.51,10.65,1513.88396981,2996.1578119785
2012-08-31,10.65,10.8,9.69,10.16,2915.12925669,3123.9734284640003
2012-09-01,10.2,10.2,9.85,9.91,665.20204584,3115.3118992500004
2012-09-02,10.07,10.18,9.49,10.18,1340.45182165,3007.3551917715004
2012-09-03,10.17,10.55,9.95,10.55,1166.65101376,2969.3890850150005
2012-09-04,10.36,10.5,10.14,10.36,2649.65990944,3022.2586908095004
2012-09-05,10.38,10.99,10.12,10.99,1870.38903077,3039.3116886425005
2012-09-06,10.9,11.15,10.68,11.02,3296.23211516,2960.7093511655003
2012-09-07,11.03,11.1,10.83,11.03,1351.77011209,2902.7294958955003
2012-09-08,10.98,11.11,10.3,10.97,1355.12940955,2699.1233900560005
2012-09-09,10.97,11.04,10.84,10.98,1216.12471861,2590.8046433500003
2012-09-10,10.85,11.08,10.74,10.95,2492.0609078,2546.1617165665
2012-09-11,10.95,11.04,10.38,11.04,4794.96358945,2376.2433312635007
2012-09-12,11.04,11.14,10.75,11.14,2414.68753313,2361.4649373165003
2012-09-13,11.17,11.42,10.98,11.3,2138.98077277,2259.8693389680006
2012-09-14,11.26,11.7,11.05,11.5,2127.29435416,2337.1704952570008
2012-09-15,11.6,11.65,11.35,11.63,594.79395476,2296.3070157645006
2012-09-16,11.63,11.8,11.53,11.75,1287.40625221,2146.488604591501
2012-09-17,11.75,11.88,11.58,11.85,689.94090289,2032.480589088001
2012-09-18,11.85,12.28,11.67,11.91,3735.01772908,1980.7884699810008
2012-09-19,11.9,12.5,11.9,12.32,1251.58348153,1967.6734455670007
2012-09-20,12.44,12.66,12.28,12.28,767.93391028,1860.3136782465008
2012-09-21,12.29,12.35,12.01,12.19,1990.390172,1926.5730845545008
2012-09-22,12.14,12.25,11.97,11.97,818.04702569,1900.4528447565008
2012-09-23,12.11,12.11,11.79,11.99,1084.4627435,1896.3434312435008
2012-09-24,11.99,11.99,11.69,11.9,1523.1995401,1840.020412776501
2012-09-25,11.9,12.18,11.56,11.75,3057.44986028,1899.373454252001
2012-09-26,11.8,12.2,11.53,12.2,3038.10509723,1886.4671033555012
2012-09-27,12.2,12.38,11.84,12.22,3306.1454631,1984.1858709060011
2012-09-28,12.21,12.28,11.53,12.28,2842.62287799,2058.560544328001
2012-09-29,12.28,12.28,12.12,12.28,584.15406141,2026.9620114680013
2012-09-30,12.2,12.28,12.17,12.22,173.21424584,1911.0196783700012
2012-10-01,12.21,12.27,11.6,12.14,3151.92775758,1828.867886776501
